date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,trend
744,115.1321,116.286,114.9964,116.1114,27588593,27588593,0.620554,0.537,115.6146,0.771973519,UP
745,115.2824,115.6751,114.6182,115.6266,27086220,27086220,-0.484807,-0.418,115.2054,0.764574997,DOWN
746,115.4909,115.9854,115.2,115.423,26111948,26111948,-0.20362,-0.176,115.4448,0.761467862,DOWN
747,114.7443,116.5866,114.6279,116.3538,34439843,34439843,0.93083,0.806,116.1014,0.77567278,UP
748,116.3538,116.8387,116.0727,116.3442,23712961,23712961,-0.009695,-0.008,116.373,0.775526275,DOWN
749,115.7721,116.4411,115.743,116.1405,25597291,25597291,-0.203619,-0.175,116.1432,0.772417614,DOWN
750,116.7902,116.7902,116.0965,116.3538,32597892,32597892,0.213314,0.184,116.3588,0.77567278,UP
751,116.3538,117.1392,116.1308,116.4314,22050218,22050218,0.077569,0.067,116.4766,0.776857032,UP
752,115.9175,116.4508,115.869,116.3248,23211038,23211038,-0.106656,-0.092,116.3096,0.775230212,DOWN
753,116.7611,118.39,116.6253,118.1767,32586673,32586673,1.852,1.592,117.8003,0.803492017,UP
754,117.9731,118.7197,117.9052,118.2349,26337576,26337576,0.058178,0.049,118.2092,0.804380206,UP
755,118.4288,118.6324,117.9052,118.2446,20562944,20562944,0.009696,0.008,118.2254,0.804528237,UP
756,117.2556,117.9343,116.9938,117.9343,30377503,30377503,-0.310276,-0.262,117.4987,0.799792756,DOWN
757,117.4689,117.7016,116.955,117.6628,49200993,49200993,-0.271494,-0.23,117.3825,0.7956494,DOWN
758,123.1702,126.5251,123.1509,124.838,111985040,111985040,7.1752,6.098,124.6515,0.90514997,UP
759,124.0865,125.4585,123.8975,124.6247,33710411,33710411,-0.213317,-0.171,124.5035,0.901894803,DOWN
760,124.4114,125.2646,124.2659,125.158,24507301,24507301,0.53329,0.428,124.8175,0.910033483,UP
761,125.2064,126.5348,124.9834,126.3312,26845924,26845924,1.1732,0.937,126.1314,0.927937662,UP
762,126.5736,128.0765,126.4863,127.5335,38183841,38183841,1.2023,0.952,127.5166,0.946285936,UP
763,127.359,128.2026,127.2329,128.028,23004072,23004072,0.494502,0.388,127.6681,0.953832489,UP
764,128.2033,128.9775,127.6872,128.9532,28349859,28349859,0.925145,0.723,128.4906,0.967951946,UP
765,128.9921,129.4596,128.5928,128.661,20065458,20065458,-0.292145,-0.227,128.8908,0.963492688,DOWN
766,129.5959,130.3165,129.2745,129.8004,23035421,23035421,1.1394,0.886,129.9854,0.980881047,UP
767,129.9757,131.5533,129.7614,131.4851,33226223,33226223,1.6847,1.298,130.8269,1.006591216,UP
768,131.972,132.7024,131.0956,131.9623,35623100,35623100,0.477171,0.363,131.8728,1.013873755,UP
769,132.1181,132.3421,131.3096,131.8016,22584555,22584555,-0.160679,-0.122,131.7113,1.011421316,DOWN
770,131.563,132.2739,131.563,132.1668,22198197,22198197,0.365183,0.277,131.8932,1.016994625,UP
771,132.6634,133.1698,132.42,133.1211,24507156,24507156,0.954342,0.722,132.8447,1.031558176,UP
772,132.8582,133.5301,132.5466,133.5204,20836932,20836932,0.399267,0.3,133.1064,1.037651885,UP
773,133.7833,133.8807,132.7316,132.9556,20788186,20788186,-0.564816,-0.423,133.1135,1.029032485,DOWN
774,132.3518,133.0822,131.7383,133.0822,21776585,21776585,0.126596,0.095,132.4325,1.030964524,UP
775,133.5496,133.8369,132.7121,133.3451,20257426,20257426,0.262932,0.198,133.389,1.034976635,UP
776,133.4912,133.8369,133.1211,133.4035,23482860,23482860,0.058429,0.044,133.4631,1.035867877,UP
777,134.28,136.4808,133.9927,136.1302,36414585,36414585,2.7267,2.044,135.7026,1.077479985,UP
778,136.3347,136.606,135.1272,135.3219,26210984,26210984,-0.808271,-0.594,135.7371,1.065144537,DOWN
779,135.1467,136.1692,134.9616,136.1205,21571121,21571121,0.798534,0.59,135.7484,1.077331954,UP
780,135.7163,136.1107,134.9674,135.692,21750044,21750044,-0.428481,-0.315,135.4762,1.070792625,DOWN
781,135.4193,136.3152,135.1564,135.8673,17446297,17446297,0.175287,0.129,135.8262,1.073467874,UP
782,135.3122,136.14,135.1856,135.3609,18707236,18707236,-0.506386,-0.373,135.581,1.065739715,DOWN
783,135.1077,135.1564,133.4619,135.0493,22155904,22155904,-0.311622,-0.23,134.7055,1.060984394,DOWN
784,135.6044,135.7086,135.0103,135.4972,19612801,19612801,0.447956,0.332,135.4328,1.067819786,UP
785,135.2148,135.7796,135.1856,135.5557,17421717,17421717,0.05843,0.043,135.4825,1.068712553,UP
786,135.653,135.9939,135.2051,135.3512,15309065,15309065,-0.204503,-0.151,135.4673,1.065591683,DOWN
787,135.7602,137.0652,135.3852,136.7827,25691774,25691774,1.4315,1.058,136.3079,1.087437773,UP
788,137.0359,137.328,136.5879,137.0067,19231998,19231998,0.223979,0.164,136.9442,1.090856232,UP
789,137.3085,137.3085,136.2276,136.325,43884952,43884952,-0.681674,-0.498,136.7949,1.080452824,DOWN
790,136.7242,137.7954,136.5587,137.7565,21542038,21542038,1.4315,1.05,137.3499,1.102298914,UP
791,138.3895,139.0614,136.0718,136.1789,39529912,39529912,-1.5776,-1.145,137.4408,1.078223195,DOWN
792,136.1838,137.8928,136.101,137.7175,25860165,25860165,1.5386,1.13,137.1732,1.101703736,UP
793,137.5617,137.8776,136.9287,137.2306,20346301,20346301,-0.486911,-0.354,137.3084,1.094273165,DOWN
794,137.7954,138.0292,136.6756,136.958,22395563,22395563,-0.272669,-0.199,137.3828,1.090113023,DOWN
795,135.7407,137.5228,134.9908,137.1917,23575094,23575094,0.233716,0.171,136.7202,1.093679513,UP
796,137.2209,140.2689,136.9385,140.0352,33374805,33374805,2.8436,2.073,139.1026,1.137074104,UP
797,139.9184,140.7072,139.4412,140.3469,29189955,29189955,0.311622,0.223,140.0681,1.141830951,UP
798,140.415,140.7169,139.7431,140.1618,21207252,21207252,-0.185025,-0.132,140.2049,1.139006144,DOWN
799,139.9573,140.4929,139.2659,139.8989,19661651,19661651,-0.262932,-0.188,140.0474,1.134994033,DOWN
800,139.9476,140.3469,139.3049,139.9378,19985714,19985714,0.038952,0.028,139.8806,1.135587685,UP
801,139.4996,141.0967,139.4217,140.9798,19891354,19891354,1.042,0.745,140.4851,1.151489624,UP
802,140.4442,141.6518,140.045,140.2495,27717854,27717854,-0.730364,-0.518,141.0023,1.140344532,DOWN
803,140.5124,140.7364,139.6944,139.8989,21149034,21149034,-0.350576,-0.25,140.1605,1.134994033,DOWN
804,139.9671,140.4053,139.5191,139.5873,16658543,16658543,-0.311622,-0.223,139.9454,1.130238712,DOWN
805,139.8405,140.1124,139.1588,139.4217,18933397,18933397,-0.16555,-0.119,139.6128,1.127711494,DOWN
806,139.1977,139.597,136.3931,137.922,30379376,30379376,-1.4997,-1.076,137.7214,1.104824606,DOWN
807,137.8928,138.4284,137.3183,138.0876,20350000,20350000,0.165548,0.12,137.8338,1.107351824,UP
808,138.1947,138.6524,137.3572,137.3572,17822880,17822880,-0.730363,-0.529,138.0807,1.096205205,DOWN
809,137.776,138.1655,137.1819,138.1168,16582094,16582094,0.759579,0.553,137.7087,1.107797444,UP
810,137.7078,138.3213,137.4157,137.5033,14697544,14697544,-0.613506,-0.444,137.7649,1.098434834,DOWN
811,138.1655,138.2824,136.7729,136.9969,17328375,17328375,-0.506386,-0.368,137.5128,1.090706675,DOWN
812,137.5228,139.1783,137.4643,138.7108,23319562,23319562,1.7139,1.251,138.5682,1.116862465,UP
813,138.7108,138.9445,138.1363,138.5453,17320928,17320928,-0.165548,-0.119,138.5351,1.114336773,DOWN
814,139.7431,140.1813,139.4315,139.8794,17134333,17134333,1.3341,0.963,139.9058,1.134696444,UP
815,140.1423,141.1064,140.1034,140.7461,18871501,18871501,0.866701,0.62,140.7217,1.147923134,UP
