date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-05-13,29.7509,29.7773,29.491,29.5395,23762495,23762495,-0.220246,-0.74,29.5732,"May 13, 15",0.14555459897154288
2015-05-14,29.698,29.9447,29.654,29.9007,17894537,17894537,0.361204,1.223,29.8392,"May 14, 15",0.15956209135118782
2015-05-15,29.9535,30.0064,29.883,29.9447,16886762,16886762,0.044049,0.147,29.9474,"May 15, 15",0.161268430400757
2015-05-18,29.9359,30.0064,29.8654,29.9359,24619161,24619161,-0.00881,-0.029,29.93,"May 18, 15",0.16092716259084314
2015-05-19,29.839,30.2971,29.8126,30.1385,20854707,20854707,0.202627,0.677,30.1409,"May 19, 15",0.16878407830545017
2015-05-20,30.2178,30.3852,30.1914,30.2178,15316889,15316889,0.07929,0.263,30.2815,"May 20, 15",0.17185936663796914
2015-05-21,30.1562,30.3852,30.1385,30.2707,18112198,18112198,0.052858,0.175,30.2762,"May 21, 15",0.17391085154074662
2015-05-22,30.2354,30.3852,30.1562,30.2002,12973502,12973502,-0.07048,-0.233,30.258,"May 22, 15",0.1711768310181414
2015-05-26,30.1121,30.2531,29.98,30.0504,18863608,18863608,-0.149767,-0.496,30.0822,"May 26, 15",0.16536752216301737
2015-05-27,30.1385,30.3676,30.0152,30.2178,22041415,22041415,0.167389,0.557,30.2399,"May 27, 15",0.17185936663796914
2015-05-28,30.3588,30.4204,30.1914,30.3412,15817238,15817238,0.123337,0.408,30.332,"May 28, 15",0.1766448720633517
2015-05-29,30.3764,30.8257,30.3147,30.6143,50083281,50083281,0.273107,0.9,30.6266,"May 29, 15",0.18723580830056383
2015-06-01,30.6319,30.764,30.4204,30.4469,27551643,27551643,-0.16739,-0.547,30.5488,"Jun 1, 15",0.1807439638256121
2015-06-02,30.5174,30.535,30.2619,30.3852,18666242,18666242,-0.061667,-0.203,30.3955,"Jun 2, 15",0.17835121111292088
2015-06-03,30.4381,30.535,30.2002,30.3147,17201219,17201219,-0.070479,-0.232,30.3275,"Jun 3, 15",0.17561719059031564
2015-06-04,30.1297,30.4469,30.0504,30.165,20659114,20659114,-0.149767,-0.494,30.1974,"Jun 4, 15",0.1698117597784861
2015-06-05,30.1209,30.2002,29.8919,30.0328,23067781,23067781,-0.13215,-0.438,30.0137,"Jun 5, 15",0.1646849865431898
2015-06-08,29.9271,30.0901,29.883,29.9359,17670265,17670265,-0.096908,-0.323,29.9893,"Jun 8, 15",0.16092716259084314
2015-06-09,29.9976,30.0681,29.8566,29.9623,23211089,23211089,0.026429,0.088,29.9841,"Jun 9, 15",0.16195096602058456
2015-06-10,30.024,30.3324,29.9929,30.2266,23674000,23674000,0.264296,0.882,30.2147,"Jun 10, 15",0.17220063444788297
