date,open,high,low,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,close,trend
515,47.976,48.1551,47.2502,37291208,37291208,0.89544,1.895,47.9,0.473281812,48.1551,UP
516,48.5321,49.7386,48.4944,40788968,40788968,1.2536,2.603,49.2543,0.511635093,49.4087,UP
517,49.3238,49.9082,49.1071,27176035,27176035,-0.216787,-0.439,49.4234,0.505002203,49.1919,DOWN
518,48.9845,49.2767,48.5698,33559073,33559073,-0.348747,-0.709,48.9579,0.494330837,48.8431,DOWN
519,49.2767,49.9554,49.2767,25008291,25008291,0.78232,1.602,49.6706,0.518267983,49.6255,UP
520,49.3333,49.3615,48.0514,28895274,28895274,-1.3856,-2.792,48.4876,0.475876227,48.2399,DOWN
521,47.7781,48.5415,47.3162,33014457,33014457,0.16966,0.352,48.0122,0.481068116,48.4096,UP
522,48.7583,49.1071,47.7027,26939467,26939467,0.697489,1.441,48.4843,0.502407788,49.1071,UP
523,49.5783,49.6537,48.1645,35975925,35975925,-0.754045,-1.536,48.5259,0.479336466,48.353,DOWN
524,48.4001,48.6829,47.7498,31654036,31654036,-0.395871,-0.819,48.1039,0.467224099,47.9571,DOWN
525,48.042,49.5689,47.9947,33024535,33024535,1.6023,3.341,48.9918,0.516248746,49.5595,UP
526,49.3992,49.9177,49.1589,29289884,29289884,0.348743,0.704,49.5712,0.526917052,49.9082,UP
527,49.9271,49.9271,48.8054,24427813,24427813,-0.565531,-1.133,49.1767,0.509615855,49.3427,DOWN
528,49.3898,49.4369,48.7395,33034150,33034150,-0.301618,-0.611,48.998,0.50038855,49.0411,DOWN
529,48.5981,48.8243,47.6744,38428816,38428816,-0.942553,-1.922,48.131,0.471550163,48.0985,DOWN
530,47.8817,49.1353,47.6885,33835119,33835119,0.584383,1.215,48.6612,0.489429596,48.6829,UP
531,48.9091,49.814,48.8761,28251588,28251588,1.1216,2.304,49.5542,0.523744401,49.8045,UP
532,49.8894,49.8988,48.2211,38387804,38387804,-0.744615,-1.495,48.982,0.500963727,49.0599,DOWN
533,49.9554,50.0213,49.371,32275677,32275677,0.961403,1.96,49.7922,0.530377292,50.0213,UP
534,49.682,50.5115,49.6066,24083616,24083616,0.094256,0.188,50.1133,0.533262354,50.1156,UP
535,49.7197,50.5115,49.7103,21104763,21104763,0.395873,0.79,50.2206,0.545374722,50.5115,UP
536,50.3795,51.4634,50.3324,31691742,31691742,0.716339,1.418,50.9656,0.567289571,51.2278,UP
537,51.0958,51.8405,50.8979,28223947,28223947,0.292195,0.57,51.5147,0.576229288,51.52,UP
538,51.7651,51.8122,50.3748,67625518,67625518,-1.1028,-2.141,50.9334,0.542489659,50.4172,DOWN
539,50.191,50.8317,49.8894,23925716,23925716,0.348746,0.692,50.5073,0.553157966,50.7659,UP
540,50.5303,51.1335,50.3889,23124143,23124143,0.197937,0.39,50.8477,0.559215679,50.9639,UP
541,51.0016,51.1241,50.6528,20129015,20129015,-0.094255,-0.185,50.8607,0.556330617,50.8696,DOWN
542,50.7471,51.209,50.6434,19949972,19949972,0.226213,0.445,51.0154,0.563251095,51.0958,UP
543,51.0958,51.1712,50.2664,17025050,17025050,-0.631512,-1.236,50.5482,0.543930661,50.4643,DOWN
544,50.5774,51.7085,50.3795,23924329,23924329,1.1028,2.185,51.3319,0.577670289,51.5671,UP
545,51.7745,52.4437,51.7462,23008260,23008260,0.320468,0.621,52.0496,0.58747583,51.8876,UP
546,51.7933,52.3966,51.7085,26360495,26360495,0.16966,0.327,52.0623,0.592667719,52.0573,UP
547,51.8876,52.4154,51.4352,24399193,24399193,0.320467,0.616,52.08,0.602470201,52.3777,UP
548,52.2458,52.4625,51.8405,18928810,18928810,-0.131957,-0.252,52.171,0.598434785,52.2458,DOWN
549,52.0195,52.1232,51.3315,19272255,19272255,-0.820021,-1.57,51.6471,0.573344225,51.4257,DOWN
550,51.2372,52.029,51.0958,21188682,21188682,0.52783,1.026,51.6333,0.589495068,51.9536,UP
551,51.7179,51.7556,51.1147,19225092,19225092,-0.622085,-1.197,51.3739,0.570462222,51.3315,DOWN
552,51.5294,52.1044,51.1995,22167223,22167223,-0.037703,-0.073,51.5267,0.569308809,51.2938,DOWN
553,51.3598,51.9818,51.1807,21414227,21414227,-0.10368,-0.202,51.6175,0.566136158,51.1901,DOWN
554,51.2467,51.6331,50.6717,24944288,24944288,0.320467,0.626,51.224,0.575941699,51.5106,UP
555,51.9536,52.2528,51.7368,20817961,20817961,0.659789,1.281,51.9981,0.596127958,52.1704,UP
556,52.0478,52.3824,51.9064,20877108,20877108,0.009424,0.018,52.1796,0.596415547,52.1798,UP
557,52.1232,52.7076,51.9441,28793753,28793753,0.273342,0.524,52.4074,0.604777027,52.4531,UP
558,52.3023,53.3391,52.0384,23785950,23785950,0.763469,1.456,53.0385,0.628135938,53.2166,UP
559,53.3768,53.5088,52.4814,29596827,29596827,-0.065979,-0.124,53.002,0.6261167,53.1506,DOWN
560,53.0564,53.2543,52.2976,36195714,36195714,-0.754045,-1.419,52.726,0.603048437,52.3966,DOWN
561,52.5945,52.9998,52.2316,38909096,38909096,0.179087,0.342,52.6111,0.608527914,52.5757,UP
562,48.928,49.4178,47.8535,126834091,126834091,-3.7702,-7.171,48.736,0.493177424,48.8054,DOWN
563,48.8054,49.1353,48.6641,33226948,33226948,0.311042,0.637,48.9348,0.502695377,49.1165,UP
564,49.2579,49.3427,48.1551,33532636,33532636,-0.63151,-1.286,48.4909,0.483374942,48.485,DOWN
565,48.5227,48.5415,47.6461,43369256,43369256,-0.471278,-0.972,47.9679,0.468955748,48.0137,DOWN
566,47.7121,47.8535,46.713,43134846,43134846,-0.980255,-2.042,47.2469,0.438963947,47.0334,DOWN
567,46.515,47.3633,46.515,48411684,48411684,-0.028276,-0.06,47.0064,0.438101182,47.0052,DOWN
568,47.1277,47.8346,46.9202,33114539,33114539,0.69749,1.484,47.3942,0.459440855,47.7027,UP
569,47.4482,47.5141,46.7507,26460244,26460244,-0.782322,-1.64,47.0047,0.435503708,46.9203,DOWN
570,46.9769,47.1842,46.6187,24257556,24257556,0.084832,0.181,46.9961,0.438101182,47.0052,UP
571,47.0052,47.4105,46.8732,25390718,25390718,0.065978,0.14,47.0961,0.440117361,47.0711,UP
572,47.0523,47.4953,46.8072,24787301,24787301,0.42415,0.901,47.1405,0.453095553,47.4953,UP
573,47.5895,47.6791,47.1277,17951598,17951598,-0.301619,-0.635,47.3447,0.443868248,47.1937,DOWN
574,47.4387,48.1645,47.3068,22890966,22890966,0.895426,1.897,47.8506,0.471262574,48.0891,UP
575,48.1928,48.8054,48.0702,24039140,24039140,0.028279,0.059,48.3475,0.472128399,48.1174,UP
576,48.2588,48.8337,47.9948,24102781,24102781,0.433574,0.901,48.4551,0.48539418,48.551,UP
577,48.485,48.9138,48.1079,22592342,22592342,-0.405299,-0.835,48.4721,0.472994224,48.1457,DOWN
578,47.8817,48.9751,47.8346,20032017,20032017,0.706916,1.468,48.6393,0.494621485,48.8526,UP
579,49.0899,49.0994,47.799,27803514,27803514,-0.911171,-1.865,48.154,0.466743765,47.9414,DOWN
580,47.9129,48.5394,47.7421,24907532,24907532,0.284745,0.594,48.1583,0.475454023,48.2261,UP
581,47.9034,48.0458,47.2865,23842358,23842358,-0.465083,-0.964,47.5345,0.461227574,47.7611,DOWN
582,47.9129,48.6153,47.837,23905769,23905769,0.284745,0.596,48.202,0.469937832,48.0458,UP
583,48.0268,48.1028,47.4383,26118720,26118720,-0.559998,-1.166,47.668,0.452804905,47.4858,DOWN
584,48.1217,49.0804,47.837,34757944,34757944,1.4807,3.118,48.6222,0.4981062,48.9665,UP
585,49.2797,49.8207,49.1563,24204566,24204566,0.50305,1.027,49.5496,0.513495239,49.4695,UP
586,49.2892,49.336,48.7482,24335223,24335223,-0.218305,-0.441,49.1,0.506816457,49.2512,DOWN
587,49.2797,49.6594,49.1373,17721438,17721438,0.408134,0.829,49.4927,0.519305137,49.6594,UP
588,49.6024,50.3048,49.4316,37653081,37653081,0.64542,1.3,49.89,0.539050836,50.3048,UP
589,49.7732,50.2573,49.7732,25324828,25324828,-0.142373,-0.283,50.0879,0.534694177,50.1624,DOWN
590,49.9631,50.058,49.199,22840779,22840779,-0.351184,-0.7,49.639,0.523949384,49.8112,DOWN
591,49.7163,49.7543,48.976,23368291,23368291,-0.654911,-1.315,49.2094,0.503913038,49.1563,DOWN
592,49.3461,49.6878,49.2512,18243271,18243271,0.322709,0.656,49.517,0.513785887,49.479,UP
593,49.5834,50.0485,49.4505,20866770,20866770,-0.028473,-0.058,49.708,0.512913944,49.4505,DOWN
594,49.3746,49.7732,49.2322,21149438,21149438,-0.056949,-0.115,49.4253,0.511173116,49.3936,DOWN
595,49.3556,49.3556,48.8716,20305664,20305664,-0.398644,-0.807,49.0851,0.498975084,48.9949,DOWN
596,48.4539,49.4031,48.4444,25833151,25833151,-0.13288,-0.271,48.9577,0.494912133,48.8621,DOWN
597,47.0587,48.136,46.5651,83217844,83217844,-1.2719,-2.603,47.393,0.455998972,47.5902,DOWN
598,47.3624,47.5522,47.0492,42577106,42577106,-0.294235,-0.618,47.2616,0.446998066,47.296,DOWN
599,47.2485,47.5712,47.1631,33757639,33757639,-0.132882,-0.281,47.3253,0.442932056,47.1631,DOWN
600,47.0017,47.9034,46.9892,31188605,31188605,0.664402,1.409,47.4991,0.46325905,47.8275,UP
601,47.8465,47.8655,47.2865,45710516,45710516,-0.246778,-0.516,47.6047,0.455708324,47.5807,DOWN
602,48.0648,48.2451,47.4858,35607946,35607946,-0.056949,-0.12,47.8864,0.453967496,47.5238,DOWN
603,47.6472,48.8146,47.6092,34097825,34097825,1.063,2.237,48.4366,0.486489463,48.5868,UP
604,48.4824,48.8431,48.3614,28816848,28816848,-0.189831,-0.391,48.5443,0.480682625,48.397,DOWN
605,48.6722,49.4126,48.5488,29028833,29028833,0.873216,1.804,49.1461,0.507397753,49.2702,UP
606,47.277,48.3495,47.0017,133502985,133502985,-1.9742,-4.007,47.4068,0.446998066,47.296,DOWN
607,46.6031,46.6473,45.5923,50576699,50576699,-1.3288,-2.81,46.0565,0.406344078,45.9672,DOWN
608,46.4323,46.9543,46.195,38140658,38140658,0.958637,2.085,46.6663,0.435671978,46.9258,UP
609,47.3719,48.1407,47.2675,31304021,31304021,1.0441,2.225,47.8124,0.467615708,47.9699,UP
610,48.1407,48.6912,47.9319,28527781,28527781,0.597962,1.247,48.4292,0.485908168,48.5678,UP
611,48.5299,49.0899,48.4729,21400392,21400392,-0.009491,-0.02,48.7662,0.48561752,48.5583,DOWN
612,48.2451,48.6722,48.1597,24806351,24806351,0.009491,0.02,48.4336,0.485908168,48.5678,UP
613,48.1977,48.919,47.8275,28167461,28167461,0.19932,0.41,48.4633,0.492008713,48.7672,UP
614,48.8051,48.9855,48.4729,19585194,19585194,0,0,48.7197,0.492008713,48.7672,DOWN
615,49.0994,49.6973,48.9285,28391026,28391026,0.873217,1.791,49.5381,0.518723842,49.6404,UP
616,49.8302,50.1434,49.8017,22269203,22269203,0.275252,0.554,49.9796,0.527143452,49.9156,UP
617,50.2478,50.6844,50.1007,27317555,27317555,0.588471,1.179,50.4633,0.545148322,50.5041,UP
618,50.8363,51.121,50.4756,25356841,25356841,0.284744,0.564,50.8541,0.55385858,50.7888,UP
619,51.1021,51.2444,50.8553,24545520,24545520,0.218303,0.43,51.0447,0.560537362,51.0071,UP
620,51.2065,51.2539,50.5041,32024385,32024385,-0.037965,-0.074,50.8668,0.55937783,50.9692,DOWN
621,50.9692,51.5766,50.8268,31433864,31433864,0.246779,0.484,51.304,0.566928556,51.216,UP
622,50.9787,51.159,50.2383,53336533,53336533,-0.825757,-1.612,50.5836,0.541663607,50.3902,DOWN
623,53.2946,53.9495,52.7061,89893301,89893301,2.6766,5.312,53.3989,0.62355288,53.0668,UP
624,53.1332,53.3705,52.9244,32776653,32776653,-0.104407,-0.197,53.0996,0.620358812,52.9624,DOWN
625,53.2281,53.7478,52.9434,32157167,32157167,0.730843,1.38,53.5436,0.642717282,53.6932,UP
626,53.5983,53.8546,53.3942,25610587,25610587,0.151864,0.283,53.6328,0.647364589,53.8451,UP
627,53.6458,54.3766,53.6363,28078995,28078995,0.028474,0.053,53.9724,0.648236532,53.8736,UP
628,53.7312,53.9115,53.2566,32327477,32327477,-0.541015,-1.004,53.5018,0.631681842,53.3325,DOWN
629,53.1522,53.5034,52.8865,37550411,37550411,0.018984,0.036,53.1843,0.632263137,53.3515,UP
630,53.399,53.8736,53.1997,30558718,30558718,0.4461,0.836,53.6812,0.645911349,53.7976,UP
